,0,1
1947,248,2216
1948,367,554
1949,1138,1173
1950,1667,2495
1951,1005,1144
1952,735,10
1953,740,1311
1954,108,3441
1955,1504,2254
1956,1425,714
1957,1138,2368
1958,75,2242
1959,1076,394
1960,988,1909
1961,1018,676
1962,217,3340
1963,1018,2976
1964,1226,1243
1965,728,2334
1966,1441,3371
1967,454,816
1968,680,3203
1969,862,185
1970,1001,668
1971,1042,280
1972,883,1798
1973,301,3102
1974,29,2728
1975,1396,737
1976,1589,459
1977,352,3377
1978,764,802
1979,840,1121
1980,1433,1096
1981,547,1613
1982,475,1306
1983,222,1473
1984,1532,454
1985,440,1178
1986,766,2052
1987,302,1488
1988,1631,1648
1989,498,3585
1990,907,187
1991,573,1086
1992,676,3446
1993,560,1954
1994,244,1874
1995,279,600
1996,1361,1218
1997,884,1123
1998,594,204
1999,1297,52
2000,274,3062
2001,1123,3203
2002,454,3659
2003,1102,1126
2004,1144,880
2005,1595,1748
2006,27,2436
2007,320,909
2008,1274,2116
2009,1119,2033
2010,156,1782
2011,1452,831
2012,833,3288
2013,1237,2680
2014,527,1446
2015,608,854
2016,693,3359
2017,220,2699
2018,876,1560
2019,511,633
2020,1569,2997
2021,222,2365
2022,335,1373
2023,1409,1760
2024,131,280
2025,1605,1626
2026,155,46
2027,1270,2077
2028,663,2661
2029,1612,537
2030,1005,1247
2031,189,1769
2032,453,1430
2033,168,1467
2034,735,3273
2035,349,1767
2036,642,3577
2037,867,1835
2038,1711,2234
2039,1542,3486
2040,1148,636
2041,1173,397
2042,1323,1149
2043,905,96
2044,153,2271
2045,656,3076
2046,160,274
2047,309,2512
2048,194,1316
2049,588,1068
2050,632,1657
2051,1039,1298
2052,488,348
2053,1351,891
2054,1227,599
2055,1134,2422
2056,106,2883
2057,825,1201
2058,406,759
2059,780,3122
2060,1189,582
2061,369,994
2062,1447,1368
2063,332,3537
2064,1566,3053
2065,992,2768
2066,1104,2495
2067,281,424
2068,262,2463
2069,25,3579
2070,888,1314
2071,897,1987
2072,1618,2283
2073,109,995
2074,1694,3014
2075,1458,1658
2076,1136,775
2077,710,2927
2078,749,1872
2079,172,1650
2080,1039,1389
2081,433,3061
2082,224,679
2083,1448,2379
2084,686,3403
2085,88,1922
2086,25,345
2087,1480,760
2088,823,3620
2089,1175,2976
2090,788,2162
2091,350,2352
2092,750,3711
2093,63,3697
2094,373,3499
2095,1010,372
2096,1609,1583
2097,452,1443
2098,1384,382
2099,161,2556
2100,738,1969
2101,975,1802
2102,1017,686
2103,1024,2157
2104,694,2027
2105,965,1054
2106,817,1896
2107,906,1323
2108,1526,371
2109,842,1420
2110,910,3532
2111,1572,3434
2112,1271,32
2113,329,24
2114,446,3435
2115,1119,742
2116,1026,48
2117,100,282
2118,1499,2496
2119,240,604
2120,1010,633
2121,1163,2453
2122,405,3097
2123,306,2557
2124,1296,3502
2125,1180,3597
2126,1189,1461
2127,326,1631
2128,1376,2378
2129,774,3527
2130,629,378
2131,1573,2946
2132,847,2728
2133,1684,67
2134,1274,1450
2135,1414,3552
2136,815,2774
2137,873,2973
2138,472,1371
2139,969,1962
2140,420,978
2141,1631,512
2142,1034,1110
2143,1621,201
2144,1633,2339
2145,1071,3124
2146,362,1097
2147,1148,2072
2148,87,1628
2149,293,3490
2150,782,1176
2151,704,1552
2152,531,2731
2153,1099,1798
2154,956,1341
2155,31,323
2156,893,2402
2157,470,3113
2158,1250,1738
2159,593,3413
2160,1547,1580
2161,35,2168
2162,1245,2951
2163,70,1660
2164,1004,1721
2165,1209,3643
2166,993,3629
2167,853,1071
2168,1137,949
2169,839,469
2170,1645,862
2171,152,2359
2172,998,2935
2173,1143,668
2174,1073,849
2175,463,159
2176,199,347
2177,889,2790
2178,190,2522
2179,64,1942
2180,1397,1876
2181,931,3724
2182,267,1569
2183,851,1351
2184,1433,3300
2185,16,3100
2186,587,2673
2187,1173,1989
2188,1556,1705
2189,1350,1051
2190,1204,1378
2191,1464,2909
2192,337,3340
2193,192,1795
2194,39,3603
2195,1384,1999
2196,487,20
2197,1648,790
2198,420,23
2199,1668,2989
2200,1456,1077
2201,148,3312
2202,878,2398
2203,723,3475
2204,1330,134
2205,1239,2797
2206,235,1065
2207,101,451
2208,636,2491
2209,715,2278
2210,1706,175
2211,1010,2377
2212,269,614
2213,1073,1056
2214,1245,783
2215,923,2934
2216,1528,2415
2217,1545,1757
2218,1524,503
2219,271,1332
2220,1494,261
2221,583,3318
2222,1706,3312
2223,564,937
2224,664,2831
2225,1670,1752
2226,194,79
2227,1330,2937
2228,1569,2449
2229,1620,906
2230,954,2310
2231,670,1179
2232,512,373
2233,1693,3069
2234,1096,18
2235,1709,2083
2236,809,1994
2237,779,1499
2238,94,1033
2239,684,1061
2240,1457,1184
2241,66,3023
2242,1015,1266
2243,1653,3388
2244,1671,2078
2245,1417,995
2246,600,938
2247,534,1834
2248,607,504
2249,634,144
2250,461,2344
2251,1320,3132
2252,1695,361
2253,614,1951
2254,1396,2163
2255,637,661
2256,867,364
2257,280,1639
2258,1176,3336
2259,604,3643
2260,542,1576
2261,590,2508
2262,1057,2777
2263,300,1259
2264,591,1848
2265,316,2805
2266,14,571
2267,133,1708
2268,1041,2147
2269,1035,312
2270,1469,2376
2271,845,1952
2272,1271,1809
2273,994,3438
2274,828,3280
2275,244,277
2276,251,696
2277,949,1405
2278,1186,784
2279,648,1884
2280,425,2972
2281,876,1751
2282,584,2873
2283,1436,1366
2284,1120,1842
2285,503,1807
2286,1016,3023
2287,1708,3342
2288,317,3668
2289,1387,3425
2290,1113,287
2291,1197,1372
2292,217,2558
2293,820,2129
2294,493,2419
2295,495,3101
2296,109,3511
2297,1122,2935
2298,1244,1086
2299,1700,238
2300,1013,1726
2301,410,1494
2302,1395,2884
2303,781,1569
2304,989,1818
2305,145,3646
2306,1174,203
2307,145,2230
2308,587,2026
2309,471,2200
2310,769,3297
2311,1029,1429
2312,1136,961
2313,773,2718
2314,902,127
2315,158,52
2316,1490,3300
2317,988,3175
2318,1589,3273
2319,653,1535
2320,1603,1139
2321,695,3626
2322,1267,610
2323,183,3361
2324,725,2257
2325,1710,2278
2326,1083,738
2327,763,666
2328,115,3093
2329,421,2124
2330,198,2001
2331,1217,3324
2332,780,3478
2333,1552,2537
2334,425,2041
2335,1540,128
2336,1339,1521
2337,765,3213
2338,478,618
2339,1025,506
2340,1102,1787
2341,1177,325
2342,603,2114
2343,1518,1263
2344,556,1089
2345,1327,1564
2346,680,3709
2347,1304,2731
2348,1450,884
2349,1076,2344
2350,1018,235
2351,1575,3576
2352,244,1638
2353,486,511
2354,1118,524
2355,1533,1728
2356,167,383
2357,549,2149
2358,336,3110
2359,1659,3085
2360,133,3071
2361,253,2383
2362,1646,1158
2363,31,1827
2364,970,1889
2365,479,3374
2366,269,3146
2367,144,1110
2368,1602,2934
2369,901,3436
2370,9,3450
2371,844,605
2372,212,3412
2373,416,2201
2374,32,400
2375,1180,3336
2376,271,1911
2377,468,2731
2378,727,802
2379,329,1967
2380,629,1265
2381,217,1975
2382,98,633
2383,297,2789
2384,107,3328
2385,1421,3303
2386,1204,3681
2387,998,271
2388,974,280
2389,953,1035
2390,804,2962
2391,1465,2887
2392,357,1874
2393,515,128
2394,1365,1136
2395,1307,2051
2396,1632,125
2397,1135,2391
2398,1547,3595
2399,1402,472
2400,241,1669
2401,876,1658
2402,1464,3045
2403,1585,1552
2404,379,1506
2405,198,3162
2406,556,801
2407,1446,1829
2408,1253,3638
2409,1533,2820
2410,961,93
2411,103,1775
2412,627,3320
2413,1655,1300
2414,972,379
2415,103,2522
2416,1261,1875
2417,494,1519
2418,734,371
2419,652,1260
2420,421,2797
2421,1491,3434
2422,472,3074
2423,22,2749
2424,1456,2778
2425,1149,1241
2426,210,1833
2427,499,2585
2428,1209,213
2429,143,231
2430,667,2029
2431,247,1500
2432,1169,1760
2433,127,2828
2434,389,1814
2435,1376,2348
2436,22,1218
2437,477,166
2438,1170,3491
2439,1099,2722
2440,645,2338
2441,178,1192
2442,1257,255
2443,1462,3016
2444,1649,3394
2445,697,2570
2446,1023,1475
2447,374,819
2448,296,2149
2449,1041,3350
2450,115,2544
2451,1716,2043
2452,1075,1695
2453,1641,2876
2454,1344,2359
2455,37,124
2456,900,50
2457,489,3618
2458,1682,1176
2459,801,881
2460,67,3371
2461,1500,1119
2462,1473,54
2463,1537,2501
2464,140,3186
2465,1591,2119
2466,1516,1031
2467,3,1914
2468,1290,2551
2469,234,1900
2470,779,3142
2471,22,77
2472,855,3440
2473,232,2932
2474,1645,386
2475,215,85
2476,207,2462
2477,218,2062
2478,1495,3155
2479,1373,3272
2480,1124,2402
2481,4,3165
2482,1449,2731
2483,1374,2740
2484,957,1994
2485,1371,1930
2486,1489,468
2487,716,100
2488,608,719
2489,584,2078
2490,903,3356
2491,1593,2412
2492,15,1943
2493,1682,1595
2494,1634,2583
2495,65,3549
2496,1660,551
2497,1553,2858
2498,579,538
2499,40,2270
2500,931,3350
2501,85,2060
2502,144,950
2503,660,3638
2504,1602,3166
2505,1061,1332
2506,303,305
2507,1535,3462
2508,1534,3245
2509,1613,873
2510,1434,2189
2511,542,1423
2512,744,3495
2513,1271,2153
2514,681,316
2515,1430,401
2516,648,2532
2517,1016,1060
2518,290,3005
2519,318,291
2520,418,1980
2521,983,2335
2522,1007,2733
2523,1081,2906
2524,179,7
2525,745,2496
2526,1010,255
2527,1650,301
2528,865,2989
2529,876,3189
2530,296,132
2531,1326,511
2532,1605,2522
2533,1443,206
2534,496,752
2535,1665,1085
2536,1342,2236
2537,941,1115
2538,1718,88
2539,1446,2253
2540,1238,1311
2541,1625,424
2542,338,1063
2543,1696,1542
2544,949,3236
2545,857,677
2546,787,1298
2547,1378,2257
2548,720,1903
2549,1501,2535
2550,966,2033
2551,587,1621
2552,1014,2475
2553,657,1906
2554,1137,520
2555,84,201
2556,129,2875
2557,21,306
2558,1388,338
2559,291,2201
2560,751,2989
2561,1332,925
2562,595,2910
2563,1398,3431
2564,218,2031
2565,737,305
2566,1071,592
2567,1516,3518
2568,1593,3014
2569,409,94
2570,1326,487
2571,44,1658
2572,1542,1370
2573,809,925
2574,857,2979
2575,387,1385
2576,796,3508
2577,371,119
2578,195,3679
2579,48,3475
2580,857,3663
2581,1415,1375
2582,1301,2203
2583,941,2161
2584,1214,937
2585,651,1895
2586,304,1164
2587,1380,1046
2588,1219,638
2589,957,1630
2590,1509,2076
2591,1600,1997
2592,1182,126
2593,1142,704
2594,1017,1972
2595,1510,3513
2596,780,2137
2597,1085,2370
2598,150,1993
2599,1351,3037
2600,176,1284
2601,117,2016
2602,1684,2602
2603,1030,3691
2604,1700,2677
2605,739,3152
2606,341,2827
2607,1446,1698
2608,1287,2786
2609,927,391
2610,156,75
2611,1588,1099
2612,1424,2469
2613,1677,2199
2614,674,1426
2615,368,2416
2616,1129,1717
2617,354,3425
2618,539,3101
2619,542,3267
2620,515,3496
2621,1086,2569
2622,1219,2989
2623,1639,2529
2624,1521,3618
2625,1028,407
2626,1686,1488
2627,1149,170
2628,159,404
2629,1585,3436
2630,1116,1058
2631,1058,1597
2632,1281,3520
2633,125,2380
2634,687,764
2635,538,2091
2636,325,1251
2637,1308,2150
2638,399,2040
2639,1197,1116
2640,1261,106
2641,1604,140
2642,1235,1859
2643,39,2155
2644,1694,1263
2645,86,1338
2646,1301,554
2647,1535,3457
2648,1028,1788
2649,484,302
2650,414,1540
2651,476,1155
2652,815,1510
2653,271,1629
2654,152,2090
2655,498,1788
2656,675,1100
2657,1618,1155
2658,274,381
2659,1601,2111
2660,668,185
2661,1623,1400
2662,1325,1683
2663,211,164
2664,1242,3136
2665,676,39
2666,764,1276
2667,1321,2595
2668,583,1549
2669,1183,1287
2670,940,1124
2671,1010,2606
2672,268,1926
2673,1312,1321
2674,28,1037
2675,815,417
2676,439,833
2677,893,489
2678,1068,3150
2679,1399,2166
2680,1233,2228
2681,871,1955
2682,724,3215
2683,703,1172
2684,887,3647
2685,1369,3212
2686,878,2981
2687,143,1001
2688,1129,3349
2689,1688,1035
2690,979,3640
2691,970,2454
2692,1265,288
2693,75,2169
2694,1103,1286
2695,1484,379
2696,448,3706
2697,943,519
2698,1377,1581
2699,1360,807
2700,174,3560
2701,439,914
2702,1064,2246
2703,1005,2548
2704,316,3381
2705,1036,1749
2706,1711,660
2707,661,3
2708,196,2738
2709,1672,643
2710,1686,2759
2711,1575,1103
2712,1266,1365
2713,1211,3318
2714,649,3058
2715,146,2000
2716,1148,1452
2717,1466,2938
2718,588,2420
2719,1239,1942
2720,1194,950
2721,1112,1364
2722,669,2751
2723,177,1200
2724,803,357
2725,1279,3334
2726,1038,808
2727,1084,1127
2728,392,2391
2729,582,3328
2730,146,1211
2731,106,264
2732,828,1670
2733,1259,1601
2734,51,2106
2735,46,899
2736,989,3419
2737,1315,1386
2738,97,2322
2739,197,2006
2740,1546,804
2741,1245,2209
2742,1148,189
2743,785,2104
2744,640,394
2745,1037,3276
2746,1663,77
2747,1721,25
2748,208,1409
2749,681,1655
2750,1444,566
2751,499,648
2752,1365,2380
2753,1520,2539
2754,775,2806
2755,1157,349
2756,554,2993
2757,323,2784
2758,278,1806
2759,241,2261
